
File                                                                         Line Type        Length Text                                                     
----                                                                         ---- ----        ------ ----                                                     
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts    532 title           61 Komi Beach Chios | Endless Golden Sand & Organized Bea...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts    601 title           62 Emporios Mavra Volia Beach Chios | Ultimate Volcanic L...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts    811 title           66 Agia Dynami Strand Chios | Smaragdgrünes Wasser & vers...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   1100 title           63 Παραλία Λιθί Χίος | Αμμώδης οικογενειακή παραλία & ψαρ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   1238 title           69 Lithi Strand Chios | Familienfreundlicher Sandstrand &...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3317 title           63 Agia Fotia Strand Chios | Kosmopolitischer organisiert...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3384 title           62 Spiaggia Agia Fotia Chios | Spiaggia organizzata e cos...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3728 title           72 Komi Strand Chios | Endloser goldener Sand und organis...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3797 title           69 Spiaggia di Komi Chios | Sabbia dorata e vita da spiag...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3866 title           61 Playa de Komi Chios | Arena dorada y vida de playa org...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   3935 title           65 Komi Plajı Sakız Adası | Sonsuz altın kum ve organize ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   4147 title           65 Mavra Volia Emporios Strand Chios | Einzigartige Vulka...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   4216 title           63 Spiaggia Mavra Volia Emporios Chios | Paesaggio vulcan...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-details.ts   4354 title           63 Mavra Volia Emporios Plajı Sakız Adası | Eşsiz volkani...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-lovers.ts     367 title           62 Ihr perfekter Strandtag auf Chios beginnt im Voulamand...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-lovers.ts     563 title           62 Tu día perfecto de playa en Quíos empieza en Voulamand...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\beach-lovers.ts     661 title           65 Sakız Adası’nda mükemmel plaj gününüz Voulamandis Hous...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\chios-explorer.ts   316 title           65 Εξερεύνηση Χίου | Πολιτιστικές διαδρομές από το Voulam...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\chios-explorer.ts   447 title           64 Explorer Chios | Excursions culturelles depuis Voulama...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\chios-explorer.ts   715 title           62 La tua giornata perfetta di esplorazione con Voulamand...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\chios-island.ts     855 title           61 Sakız Adası’nı eğlenceli bir şekilde keşfetmek ister m...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\contact.ts          153 title           61 Επικοινωνία με το Voulamandis House στη Χίο | Αίτημα Δ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\contact.ts          545 title           64 Contacta con Voulamandis House en Chios | Consulta de ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\deals.ts             59 title           65 Best Chios Travel Deals for Chios Hotels 2026 | Voulam...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    204 title           65 A relaxed island stay for families who want more than ...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    339 title           77 Μια ήρεμη διαμονή για οικογένειες που θέλουν κάτι περι...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    403 title           64 Η ιδανική οικογενειακή μέρα στη Χίο με βάση το Voulama...
C:\Users\sideris\Documents\GitHub\chioshotel-next\content\family-travel.ts    450 title           62 Ξεκινήστε να οργανώνετε τις οικογενειακές διακοπές σας...
